date,open,high,low,close,volume,amount_change,percent_change
2013-02-26,795,795.95,784.4,790.13,2202500,-4.87,-0.612579
2013-02-25,802.3,808.41,790.49,790.77,2303900,-11.53,-1.43712
2013-02-22,799.26,801.25,793.8,799.71,2053900,0.45,0.0563021
2013-02-21,798,805.45,791.22,795.53,3506400,-2.47,-0.309524
2013-02-20,805.3,808.97,791.79,792.46,2764200,-12.84,-1.59444
2013-02-19,795.99,807,795.28,806.85,2931800,10.86,1.36434
2013-02-15,787.4,793.26,787.07,792.89,2729800,5.49,0.697231
2013-02-14,779.73,788.74,777.77,787.82,1735300,8.09,1.03754
2013-02-13,780.13,785.35,779.97,782.86,1198200,2.73,0.349942
2013-02-12,781.75,787.9,779.37,780.7,1859000,-1.05,-0.134314
2013-02-11,778.4,783,773.75,782.42,2167700,4.02,0.516444
2013-02-08,780.13,786.67,779.56,785.37,3020100,5.24,0.671683
2013-02-07,769.7,778.81,765.5,773.95,2840200,4.25,0.552163
2013-02-06,759.07,772.96,758.5,770.17,2078100,11.1,1.46232
2013-02-05,761.13,771.11,759.47,765.74,1870700,4.61,0.605678
2013-02-04,767.69,770.47,758.27,759.02,3040500,-8.67,-1.12936
2013-02-01,758.2,776.6,758.1,775.6,3746100,17.4,2.29491
2013-01-31,750.51,757.62,750.25,755.69,1634200,5.18,0.690197
2013-01-30,753.74,760.95,752.91,753.83,1733000,0.09,0.0119405
2013-01-29,746.75,756.95,746.54,753.68,1747100,6.93,0.928021
2013-01-28,751.76,755.6,747.89,750.73,1627100,-1.03,-0.137012
2013-01-25,750.77,758.48,750.25,753.67,2225900,2.9,0.38627
2013-01-24,741.24,756.83,740.51,754.21,3382700,12.97,1.74977
2013-01-23,735.99,749,735.79,741.5,5909100,5.51,0.748652
2013-01-22,704.66,705.34,695.52,702.87,3779100,-1.79,-0.254023
2013-01-18,710.36,712.77,701.33,704.51,3226800,-5.85,-0.823526
2013-01-17,717.71,719.64,711.02,711.32,2211500,-6.39,-0.890332
2013-01-16,722.4,724.34,713.67,715.19,2023400,-7.21,-0.998062
2013-01-15,719.33,735,712.1,724.93,3927700,5.6,0.778502
2013-01-14,737,742.2,722.35,723.25,2863900,-13.75,-1.86567
2013-01-11,742,742.43,736.3,739.99,1285200,-2.01,-0.270889
2013-01-10,742.83,745,733.5,741.48,1835700,-1.35,-0.181737
2013-01-09,732.27,738.35,728.6,738.12,2024700,5.85,0.798886
2013-01-08,735.54,736.3,724.43,733.3,1676100,-2.24,-0.304538
2013-01-07,735.45,739.38,730.58,734.75,1655700,-0.7,-0.0951798
2013-01-04,729.34,741.47,727.68,737.97,2763500,8.63,1.18326
2013-01-03,724.93,731.93,720.72,723.67,2318200,-1.26,-0.17381
2013-01-02,719.42,727,716.55,723.25,2541300,3.83,0.532373
2012-12-31,700,710.57,696,707.38,1997400,7.38,1.05429
2012-12-28,701.69,706.91,700.01,700.01,1402000,-1.68,-0.239422
2012-12-27,707.14,708.84,698.61,706.29,1647400,-0.85,-0.120203
2012-12-26,708.07,712.88,702.41,708.87,1182400,0.8,0.112983
2012-12-24,714.51,715.18,707.47,709.5,840900,-5.01,-0.70118
2012-12-21,713.97,718.82,710.52,715.63,3526000,1.66,0.232503
2012-12-20,723.26,724.65,716.97,722.36,1657000,-0.9,-0.124437
2012-12-19,720.71,723,716.68,720.11,1918600,-0.6,-0.0832512
2012-12-18,716.6,729.1,715.05,721.07,3004900,4.47,0.623779
2012-12-17,705.5,721.92,704.02,720.78,3035400,15.28,2.16584
2012-12-14,699.17,707.82,698.43,701.96,2130100,2.79,0.399045
2012-12-13,715.92,716.47,699.55,702.7,3444900,-13.22,-1.84658
2012-12-12,699.23,703.51,693.48,697.56,2426000,-1.67,-0.238834
2012-12-11,690,701.92,687.72,696.88,2687600,6.88,0.997101
2012-12-10,685.39,691.65,683.79,685.42,1366700,0.03,0.00437707
2012-12-07,695,696.88,682.42,684.21,1919300,-10.79,-1.55252
2012-12-06,687.59,695.61,684.51,691.13,1462300,3.54,0.514842
