rating,title,author,type,asin,tags,review
0,The Killing Kind,John Connolly,Book,340771224,book bestseller,book bestseller
0,The Third Secret,Steve Berry,Book,340899263,book bestseller,book bestseller
3,The Last Templar,Raymond Khoury,Book,752880705,book bestseller,book bestseller
5,The Traveller,John Twelve Hawks,Book,59305430,book bestseller,book bestseller
4,Crisis Four,Andy Mcnab,Book,345428080,book bestseller,book bestseller
5,Prey,Michael Crichton,Book,7154534,book bestseller,book bestseller
3,The Broker,John Grisham,Book,440241588,book johngrisham,book johngrisham
3,Without Blood ,Alessandro Baricco,Book,1841955744,book bestseller,book bestseller
5,State of Fear ,Michael Crichton,Book,61015733,book bestseller,book bestseller
4,The Rule of Four ,Ian Caldwell,Book,99451956,book bestseller,book bestseller
4,Deception Point ,Dan Brown,Book,671027387,book danbrown bestseller,book danbrown bestseller
5,Digital Fortress ,Dan Brown,Book,312995423,book danbrown bestseller,book danbrown bestseller
5,Angels & Demons ,Dan Brown,Book,671027360,book danbrown bestseller,book danbrown bestseller
4,The Da Vinci Code,Dan Brown,Book   ,385504209,book movie danbrown bestseller davinci,book bestseller
